country,Trust in government,year
Japan,44.3786927581277,2019
Belgium,42.3496418228868,2019
Costa Rica,41.0652322035004,2019
United Kingdom,40.9196501661353,2019
Lithuania,39.8188555650196,2019
Korea,39.5375599009574,2019
France,38.9915854611354,2019
Mexico,35.8312448036839,2019
United States,35.7625234162457,2019
Slovak Rep.,32.1224750380191,2019
Spain,31.4544593822078,2019
Slovenia,29.4108687403275,2019
Colombia,28.4761536416501,2019
Latvia,26.312517898408,2019
Chile,25.8695372961268,2019
Greece,25.1864080264858,2019
Italy,22.4882199385052,2019
Switzerland,84.2933448635261,2018
Luxembourg,78.0304967635858,2018
New Zealand,66.9703176566263,2018
Norway,66.8344304622784,2018
Netherlands,65.0628000548596,2018
Denmark,61.7768145042876,2018
Ireland,61.2779498084939,2018
Canada,60.9914721615327,2018
Finland,60.9413155575778,2018
Germany,60.9279861737013,2018
Türkiye,60.2987714827353,2018
Sweden,53.8339818161763,2018
Poland,52.9070858153402,2018
Portugal,51.2938723704886,2018
Austria,49.1623206478053,2018
Estonia,48.6589387688304,2018
Australia,47.5511441200775,2018
Hungary,46.7919031435154,2018
Israel,46.0589041695201,2018
Czechia,44.4137244347207,2018
Japan,44.3786927581277,2018
Belgium,42.3496418228868,2018
Costa Rica,41.0652322035004,2018
United Kingdom,40.9196501661353,2018
Lithuania,39.8188555650196,2018
Korea,39.5375599009574,2018
France,38.9915854611354,2018
Mexico,35.8312448036839,2018
United States,35.7625234162457,2018
Slovak Rep.,32.1224750380191,2018
Spain,31.4544593822078,2018
Slovenia,29.4108687403275,2018
Colombia,28.4761536416501,2018
Latvia,26.312517898408,2018
Chile,25.8695372961268,2018
Greece,25.1864080264858,2018
Italy,22.4882199385052,2018
Switzerland,84.6814431108437,2021
Norway,80.5234625740254,2021
Finland,77.4218128228277,2021
Denmark,69.042140745947,2021
Netherlands,68.5619912981381,2021
Sweden,65.4856315106943,2021
Iceland,64.246948825984,2021
New Zealand,64.0517050596517,2021
Germany,63.7306492814822,2021
Austria,62.7243012030955,2021
Portugal,62.1304165574487,2021
Ireland,61.3032699278199,2021
Canada,60.7703716597511,2021
Estonia,55.8313913445791,2021
Türkiye,52.6358880722199,2021
Mexico,48.8407193831876,2021
Australia,48.5392135205675,2021
Lithuania,47.3416772014576,2021
Israel,46.4084350721576,2021
South Korea,45.3789156606672,2021
Hungary,45.0727255312867,2021
United States,43.6899037760797,2021
France,43.0665701234606,2021
Greece,40.3197728510101,2021
Slovenia,40.1075927828099,2021
Belgium,39.255601571737,2021
Japan,38.5160147942005,2021
Spain,37.9524162880048,2021
United Kingdom,37.6249777846025,2021
Italy,36.7660925297812,2021
Colombia,33.3724486589101,2021
Latvia,32.6714484917563,2021
Czechia,32.5161684774982,2021
Costa Rica,31.4183408978547,2021
Poland,27.7610940645938,2021
Slovak Rep.,26.7956689682107,2021
Chile,20.9050552195241,2021
